area_type,availability,size,total_sqft,location,bath,LONGITUDE,LATITUDE,balcony,price
Super built-up  Area,19-Dec,2,1300.236407,"Ksfc Layout,Bangalore",2,12.96991,77.59796,1,55
Plot  Area,Ready To Move,2,1275,"Vishweshwara Nagar,Mysore",5,12.274538,76.644605,3,51
Built-up  Area,Ready To Move,2,933.1597222,"Jigani,Bangalore",2,12.778033,77.632191,3,43
Super built-up  Area,Ready To Move,2,929.9211427,"Sector-1 Vaishali,Ghaziabad",3,28.6423,77.3445,1,62.5
Super built-up  Area,Ready To Move,2,999.009247,"New Town,Kolkata",2,22.5922,88.484911,1,60.5
Super built-up  Area,Ready To Move,3,1250,"South Chittoor,Kochi",2,10.03328,76.282571,1,42
Super built-up  Area,18-May,3,1495.053957,"Sodala,Jaipur",4,26.916347,75.7956,,66.5
Super built-up  Area,Ready To Move,3,1181.012946,"Kharar,Mohali",4,30.74,76.65,,52
Super built-up  Area,Ready To Move,2,1040,"Bileshivale,Bangalore",3,13.054202,77.674002,1,41.6
Plot  Area,Ready To Move,2,879.1208791,"Chromepet,Chennai",6,12.95161,80.14097,,36
Super built-up  Area,18-Feb,3,1350.308642,"Deshbandhu Para,Siliguri",2,26.724219,88.326357,2,35
Plot  Area,Ready To Move,2,1333.010179,"Hebbal,Bangalore",5,13.04034,77.591347,3,110
Super built-up  Area,Ready To Move,2,927.1779023,"Garebhavipalya,Bangalore",2,12.96991,77.59796,1,48
Built-up  Area,Ready To Move,2,1122.171946,"Sector-119 Noida,Noida",2,28.587711,77.403123,2,62
Plot  Area,Ready To Move,1,649.9837504,"sanjay nagar,Raigad",3,13.0352,77.5772,2,20
Super built-up  Area,Ready To Move,3,1394.117647,"Sector-150 Noida,Noida",2,28.429614,77.481711,2,71.1
Super built-up  Area,Ready To Move,3,1800.08471,"Jharapada,Bhubaneswar",3,20.275267,85.862407,2,85
Super built-up  Area,Ready To Move,3,2124.896706,"Konanakunte,Bangalore",3,12.8855,77.5638,3,180
Super built-up  Area,Ready To Move,2,1100,"Nagpur Road,Wardha",4,21.15389,79.08306,2,22
Super built-up  Area,Ready To Move,3,2178.649237,"Kogilu,Bangalore",2,13.092356,77.613468,2,120
Built-up  Area,Ready To Move,2,881.1435285,"Poonamallee,Chennai",1,13.05,80.11,1,45
Super built-up  Area,19-Dec,2,944.8818898,"Undri,Pune",3,18.452663,73.93104,1,42
Plot  Area,Ready To Move,3,1310.147689,"Sector-134 Noida,Noida",5,28.5041,77.381557,2,55
Super built-up  Area,Ready To Move,1,630.00063,"Bandra (West),Mumbai",3,19.05444,72.84056,1,300
Super built-up  Area,18-Nov,2,1219.80971,"Narendra Nagar,Nagpur",1,21.105779,79.078497,0,50
Super built-up  Area,18-May,2,780.141844,"Kudgat,Kolkata",3,22.54111,88.33778,2,27.5
Super built-up  Area,Ready To Move,3,1600,"Sain Vihar,Ghaziabad",1,28.63601,77.433724,1,46
Built-up  Area,20-Dec,2,1180.412371,"Sector-115 Mohali,Mohali",3,30.712867,76.648557,2,22.9
Super built-up  Area,17-Oct,2,1000,"Mohan Asram,Deoghar",2,24.48,86.7,2,39
Super built-up  Area,Ready To Move,2,1000,"Alwar Bypass Road,Bhiwadi",2,28.2102,76.8606,1,12.5
Super built-up  Area,19-Dec,3,1400.107701,"Sector 84 Faridabad,Faridabad",4,28.40473,77.367514,0,52
Super built-up  Area,Ready To Move,2,943.1266076,"Sector-134 Noida,Noida",2,28.5041,77.381557,1,33
Super built-up  Area,Ready To Move,2,1150.146382,"Indra Colony,Jaipur",2,26.586306,74.873234,2,55
Super built-up  Area,Ready To Move,1,864.0674394,"Thane West,Lalitpur",3,19.18,72.96333,3,82
Built-up  Area,Ready To Move,2,857.7861968,"Mulund (West),Maharashtra",3,19.1759,72.9522,,240
Super built-up  Area,21-Dec,3,1174.210077,"Thalambur,Chennai",2,12.852171,80.216826,1,55
Super built-up  Area,Ready To Move,2,1020.087884,"Wakad,Pune",2,18.5993,73.7625,1,65
Super built-up  Area,Ready To Move,4,1650.165017,"Vasna,Vadodara",3,22.312063,72.674296,2,65
Super built-up  Area,Ready To Move,2,1000,"Madhurawada,Visakhapatnam",2,17.815234,83.35818,2,35
Built-up  Area,Ready To Move,3,1300.052002,"Vasanthapura,Bangalore",2,12.894088,77.548914,2,75
Built-up  Area,Ready To Move,1,40606.19568,"Kanjur Marg (East),Lalitpur",2,24.69028,78.41889,,9110
Super built-up  Area,19-Dec,2,1058.114928,"Sus,Pune",3,18.539812,73.737678,2,65
Super built-up  Area,Ready To Move,1,400,"Kharadi,Pune",1,18.5438,73.9438,0,30
Plot  Area,Ready To Move,3,1274.924779,"Marol,Mumbai",1,22.803593,83.755013,0,250
Super built-up  Area,19-Sep,2,1026.694045,"Wadala East,Lalitpur",2,19.014858,72.8662,2,220
Plot  Area,Ready To Move,2,1150.121065,"Near Ambamata Mandir,Vapi",9,20.36667,72.9,,38
Super built-up  Area,Ready To Move,3,1200,"Patel Nagar-II,Ghaziabad",2,28.460928,77.039391,0,60
Super built-up  Area,20-Sep,1,475.0103263,"Balkum,Lalitpur",2,24.69028,78.41889,1,46
Plot  Area,Ready To Move,1,301.9171163,"Taloja,Lalitpur",1,24.69028,78.41889,1,26.3
Built-up  Area,Ready To Move,2,1228.571429,"Bolar,Mangalore",2,12.843852,74.845271,1,51.6
Super built-up  Area,Ready To Move,2,986.0164934,"Ayanambakkam,Chennai",2,13.077175,80.151453,1,55
Super built-up  Area,18-Mar,3,1972.565158,"Sector 88 Faridabad,Faridabad",3,28.431862,77.351104,1,71.9
Built-up  Area,Ready To Move,1,420.6166888,"Sindhi Society Chembur,Lalitpur",3,19.048403,72.88731,2,130
Super built-up  Area,Ready To Move,3,1275.009808,"Shiv Mandir,Siliguri",2,25.232239,71.392013,2,32.5
Super built-up  Area,Ready To Move,1,406.024219,"Kalyan (West),Maharashtra",2,19.245347,73.124577,3,39.9
Super built-up  Area,Ready To Move,3,1862.562189,"Sector 88 Faridabad,Faridabad",2,28.431862,77.351104,2,59.9
Built-up  Area,20-Feb,2,950.0146156,"Nandanwan Phases 2,Aurangabad",,19.88879,75.34344,,65
Super built-up  Area,Ready To Move,4,5200.945626,"Sector-76 Noida,Noida",2,28.567633,77.383124,2,110
Plot  Area,Ready To Move,2,1049.969344,"Basaveshwara Nagar,Bangalore",4,12.985039,77.54383,1,68.5
Super built-up  Area,Ready To Move,3,1615.008157,"Maniktala,Kolkata",2,22.589694,88.372957,2,99
Plot  Area,Ready To Move,3,1150.0069,"Wadala East,Lalitpur",3,19.014858,72.8662,2,250
Super built-up  Area,Ready To Move,2,1100,"Jhotwara,Jaipur",2,26.955346,75.734793,1,27.5
Plot  Area,Ready To Move,2,906.2661833,"Balkum,Lalitpur",5,24.69028,78.41889,3,70
Built-up  Area,Ready To Move,3,1454.333915,"Poolakkaparambu,Ottapalam",2,10.77,76.38,2,50
Built-up  Area,Ready To Move,3,1591.994542,"Sector-137 Noida,Noida",8,28.506454,77.409568,0,70
Super built-up  Area,Ready To Move,2,573.8769151,"Sector 86 Faridabad,Faridabad",2,28.406388,77.342588,1,22.1
Super built-up  Area,18-Apr,3,1038.883942,"Powai,Mumbai",2,19.12,72.91,3,280
Super built-up  Area,Ready To Move,3,1538.141758,"Yelahanka,Bangalore",2,13.11389,77.59833,1,74
Plot  Area,Ready To Move,2,5000,"Malviya Nagar,Jaipur",7,26.850391,75.814198,0,85
Super built-up  Area,Ready To Move,3,1602.084012,"Sector 77 Faridabad,Faridabad",2,28.368269,77.37273,1,49.2
Plot  Area,Ready To Move,2,1200,"Madhuranagar,Vijayawada",3,16.51667,80.61667,2,45
Super built-up  Area,20-Aug,2,760.07094,"Tilakwadi,Belgaum",2,15.86667,74.5,1,60
Super built-up  Area,Ready To Move,2,739.8273736,"tallaiya,Bhopal",3,23.25,77.41667,1,30
Super built-up  Area,18-Apr,2,1260.02291,"Mulki,Mangalore",2,13.0915,74.7844,1,33
Super built-up  Area,Ready To Move,2,1100.151745,"Manewada,Nagpur",3,21.093676,79.111965,2,29
